"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Offer Simulation","0","Positive Tests: Simulation Offer","37","0","Post Offer Simulation","0"
"0","User Service","0","Negative Tests: V2 APIs","0","81","POST Create System Config v2","0"
"0","User Service","0","Negative Tests: Franchise APIs","195","0","Create Franchise","0"
"0","User Service","0","Negative Tests: V2 APIs","0","6","Get Me v2","0"
"0","Detach Tyre Specification","0","Negative Tests: Detach Tyre Specification","0","108","Create Inspection","0"
"0","User Service","0","Negative Tests: V2 APIs","0","84","PATCH Update System Config v2","0"
"0","Inventory Service","0","Positive Tests: Dynamic Response","0","10","Get Make","0"
"0","Offer Simulation","160","Negative Tests: Simulation Offer","81","0","Submit Simulate Offer","0"
"0","User Service","0","Negative Tests: V2 APIs","0","30","Post User Signup V2","0"
"0","Detach Tyre Specification","0","Negative Tests: Detach Tyre Specification","0","74","Update Car","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","0","19","Get Body Type","0"
"0","User Service","0","Negative Tests: V2 APIs","0","14","POST Enable User v2","0"
"0","User Service","0","Negative Tests: Franchise APIs","195","0","Update Franchise","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","0","13","Logbook Car Details by loan id","0"
"0","User Service","0","Negative Tests: V2 APIs","0","12","POST Logout V2","0"
"0","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","0","16","Create Car","0"
"0","Inventory Service","0","Positive Tests: Dynamic Response","0","6","Get Trims","0"
"0","Inventory Service","0","Positive Tests: Dynamic Response","0","19","Get Model List","0"
"0","User Service","2","Negative Tests: Franchise APIs","18","0","Get Franchise By ID","0"
"0","User Service","0","Negative Tests: Franchise APIs","25","0","Get Franchise List","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","0","13","Get Loan By ID","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","0","16","Get Inspection Request","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","1","Get Logbook car details by loan id","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","0","15","Get Sources List","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","0","17","Get Loans List","0"
"0","Offer Simulation","13","Negative Tests: Simulation Offer","0","0","Accept Offer","0"
"0","Inventory Service","0","Positive Tests: Dynamic Response","0","3","Get Inspection Request","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","0","16","Get Trims","0"
"0","Inventory Service","0","Positive Tests: Dynamic Response","0","6","Get Body Type","0"
"0","User Service","0","Negative Tests: V2 APIs","0","14","Post User Login V2","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","5","Get Sources List","0"
"0","Offer Simulation","0","Negative Tests: Simulation Offer","1","0","Token Expiry Validation","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","0","15","Get Partners List","0"
"0","Offer Simulation","0","Negative Tests: Simulation Offer","17","0","Get Tyre Brands","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","0","15","Get Offers List","0"
"0","Inventory Service","0","Positive Tests: Dynamic Response","0","14","Get Cars List","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","0","15","Get Banks List","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","0","29","Get Cars","0"
"1","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","0","","0"
"0","User Service","0","Negative Tests: V2 APIs","0","16","POST Lookup V2","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","0","13","Get Offers By LoanID","0"
"0","User Service","0","Negative Tests: V2 APIs","0","20","Post logout-all by Admin v2","0"
"1","Inventory Service","0","Negative Tests: Dynamic Response","0","0","","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","5","Get Banks List","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","0","14","Get loan documents by offer id","0"
"0","Inventory Service","0","Positive Tests: Dynamic Response","0","4","Get Inspection","0"
"0","Offer Simulation","0","Positive Tests: Simulation Offer","1","0","Get Tyre Brands","0"
"0","User Service","0","Positive Tests: V2 APIs","0","2","POST Enable User V2","0"
"0","Offer Simulation","0","Negative Tests: Simulation Offer","1","0","Create Loan","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","0","17","Get Model List","0"
"0","User Service","0","Negative Tests: V2 APIs","0","13","Delete System Config v2","0"
"0","User Service","0","Positive Tests: V2 APIs","0","1","Post Create System Config V2","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","0","14","Get Offers By OfferID","0"
"0","Origination Service","0","Positive Tests: Response Payload Reduction (V2 APIs)","0","5","Get Loans List","0"
