"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","507","submitLoanPreference - Upfront vehicle registration TRUE","API_Regression_Suite","2026-03-09","passed","2026-03-09","autochek_api_positive.OfferSimulation.OfferSimulationPositive","Autochek_API_Automation","autochek_api_positive.OfferSimulation.OfferSimulationPositive","submitLoanPreference"
"Negative test for Create System Config V2","0","PostSystemConfigV2 - REQUIRE_NUMBER string true instead of boolean","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostSystemConfigV2"
"","760","CreateFranchise - email with invalid characters","API_Regression_Suite","2026-03-09","passed","2026-03-09","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
"","0","GetMeV2Negative - Send expired access token","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","GetMeV2Negative"
"Create Inspection for the carID generated in Car Creation","0","PostCreateInspection - Invalid longitude format","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PostCreateInspection"
"Update System Config dynamically for PASSWORD_POLICY or USER_SESSION","0","PatchSystemConfigV2 - MAX_LENGTH zero","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PatchSystemConfigV2"
"Validates GET /v1/inventory/make with dynamic fields filtering - Positive Test","0","GetMake - Verify response returns only id, name fields (exclude imageUrl)","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_positive.InventoryService.DynamicResponsePositive","Autochek_API_Automation","autochek_api_positive.InventoryService.DynamicResponsePositive","GetMake"
"Create Inspection for the carID generated in Car Creation","0","PostCreateInspection - Empty car_id","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PostCreateInspection"
"Update System Config dynamically for PASSWORD_POLICY or USER_SESSION","0","PatchSystemConfigV2 - DISALLOW_WHITESPACES null value","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PatchSystemConfigV2"
"Submit Loan Customer Preferences","416","SubmitLoanPreferencesNegative - includeLicenceRenewalFees blank","API_Regression_Suite","2026-03-09","failed","2026-03-09","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"","1","PostUserSignUpV2Negative - LastName is null","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostUserSignUpV2Negative"
