"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validates GET /v1/inspection with dynamic parameters - Negative Test","0","GetInspectionNegative - Pass invalid structure in relations","API_Regression_Suite","2026-03-10","skipped","2026-03-10","autochek_api_negative.InventoryService.DynamicResponseNegative","Autochek_API_Automation","autochek_api_negative.InventoryService.DynamicResponseNegative","GetInspectionNegative"
"","0","PostEnableUserV2Negative - Send very long string for userId","API_Regression_Suite","2026-03-10","skipped","2026-03-10","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostEnableUserV2Negative"
"","371","UpdateFranchise - bank_name special chars","API_Regression_Suite","2026-03-10","passed","2026-03-10","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","UpdateFranchise"
"Validates GET /v2/origination/loans/{loan_id}/logbook/car-details - Negative Test","0","GetLogbookCarDetailsByLoanIdNegative - Script injection (XSS attempt)","API_Regression_Suite","2026-03-10","skipped","2026-03-10","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","Autochek_API_Automation","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","GetLogbookCarDetailsByLoanIdNegative"
"Update Car and Validate Response","1","InspectionRequest","API_Regression_Suite","2026-03-10","skipped","2026-03-10","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","InspectionRequest"
"Submit Loan Customer Preferences","330","SubmitLoanPreferencesNegative - tyreBrand XSS injection","API_Regression_Suite","2026-03-10","failed","2026-03-10","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"Validates GET /v2/origination/loans/{loan_id}/logbook/car-details - Negative Test","0","GetLogbookCarDetailsByLoanIdNegative - Send loan_id as null","API_Regression_Suite","2026-03-10","skipped","2026-03-10","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","Autochek_API_Automation","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","GetLogbookCarDetailsByLoanIdNegative"
"Update System Config dynamically for PASSWORD_POLICY or USER_SESSION","0","PatchSystemConfigV2 - MAX_LENGTH huge number","API_Regression_Suite","2026-03-10","skipped","2026-03-10","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PatchSystemConfigV2"
"Submit Loan Customer Preferences","346","SubmitLoanPreferencesNegative - monthlyPayment blank","API_Regression_Suite","2026-03-10","failed","2026-03-10","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"","668","CreateFranchise - account_number float","API_Regression_Suite","2026-03-10","passed","2026-03-10","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
"","0","PostEnableUserV2Negative - Send SQL injection string as userId","API_Regression_Suite","2026-03-10","skipped","2026-03-10","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostEnableUserV2Negative"
"Submit Loan Customer Preferences","357","SubmitLoanPreferencesNegative - upfrontInsurance SQL injection attempt","API_Regression_Suite","2026-03-10","failed","2026-03-10","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"","0","PostLookUpV2Negative - Identifier is an empty string","API_Regression_Suite","2026-03-10","skipped","2026-03-10","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostLookUpV2Negative"
"Validates GET /v2/origination/loans/{loan_id}/accepted-offer - Negative Test","0","GetAcceptedOfferByLoanIdNegative - Send offer_id as null","API_Regression_Suite","2026-03-10","skipped","2026-03-10","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","Autochek_API_Automation","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","GetAcceptedOfferByLoanIdNegative"
"Validates GET /v1/inventory/inspection_request with dynamic parameters - Negative Test","0","GetInspectionRequestNegative - Pass comma without field names","API_Regression_Suite","2026-03-10","skipped","2026-03-10","autochek_api_negative.InventoryService.DynamicResponseNegative","Autochek_API_Automation","autochek_api_negative.InventoryService.DynamicResponseNegative","GetInspectionRequestNegative"
"Update franchise fields one-by-one using PUT and validate the response","1449","UpdateFranchise - all valid fields","API_Regression_Suite","2026-03-10","passed","2026-03-10","autochek_api_positive.UserService.UserService","Autochek_API_Automation","autochek_api_positive.UserService.UserService","UpdateFranchise"
"Update Car and Validate Response","0","PutUpdateCar - owner_type SQL injection attempt","API_Regression_Suite","2026-03-10","skipped","2026-03-10","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PutUpdateCar"
"Update System Config dynamically for PASSWORD_POLICY or USER_SESSION","0","PatchSystemConfigV2 - REQUIRE_LOWERCASE SQL injection attempt","API_Regression_Suite","2026-03-10","skipped","2026-03-10","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PatchSystemConfigV2"
"","408","UpdateFranchise - account_name has special characters","API_Regression_Suite","2026-03-10","passed","2026-03-10","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","UpdateFranchise"
"Create Inspection for the carID generated in Car Creation","0","PostCreateInspection - Special characters in id","API_Regression_Suite","2026-03-10","skipped","2026-03-10","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PostCreateInspection"
