"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Invalid Rate format should be blocked (CSV-driven)","Regression_Suite","2026-03-11","skipped","2026-03-11","Tests.BankApp.BankAppListRefresh","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.BankApp.BankAppListRefresh","hedgeInvalidRate"
"","0","Invalid Rate format should be blocked (CSV-driven)","Regression_Suite","2026-03-11","skipped","2026-03-11","Tests.BankApp.BankAppListRefresh","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.BankApp.BankAppListRefresh","hedgeInvalidRate"
"","1","Invalid Rate format should be blocked (CSV-driven)","Regression_Suite","2026-03-11","skipped","2026-03-11","Tests.BankApp.BankAppListRefresh","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.BankApp.BankAppListRefresh","hedgeInvalidRate"
"","1","Rollback to old value on inline update failure (Cancel)","Regression_Suite","2026-03-11","skipped","2026-03-11","Tests.BankApp.BankAppListRefresh","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.BankApp.BankAppListRefresh","inlineRollbackOnRefresh"
"","0","Delete a newly added Bank via modal and verify it does not appears in the list","Regression_Suite","2026-03-11","skipped","2026-03-11","Tests.BankApp.BankAppListRefresh","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.BankApp.BankAppListRefresh","deleteBankAndVerify"
"","0","Invalid Rate format should be blocked (CSV-driven)","Regression_Suite","2026-03-11","skipped","2026-03-11","Tests.BankApp.BankAppListRefresh","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.BankApp.BankAppListRefresh","hedgeInvalidRate"
"","0","Rollback to old value on inline update failure (Cancel)","Regression_Suite","2026-03-11","skipped","2026-03-11","Tests.BankApp.BankAppListRefresh","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.BankApp.BankAppListRefresh","inlineRollbackOnCancel"
"","1","Missing Currency/Rate should block update","Regression_Suite","2026-03-11","skipped","2026-03-11","Tests.BankApp.BankAppListRefresh","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.BankApp.BankAppListRefresh","hedgeRequiredFields"
"","0","Invalid Rate format should be blocked (CSV-driven)","Regression_Suite","2026-03-11","skipped","2026-03-11","Tests.BankApp.BankAppListRefresh","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.BankApp.BankAppListRefresh","hedgeInvalidRate"
"","1","Invalid Account Number format should block creation","Regression_Suite","2026-03-11","skipped","2026-03-11","Tests.BankApp.BankAppListRefresh","C:/Users/Suhail Ahmed/IdeaProjects/autochek-ui-automation","Tests.BankApp.BankAppListRefresh","invalidAccountNumber"
