"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Detach Tyre Specification","9","Negative Tests: Detach Tyre Specification","65","0","Update Car","0"
"0","User Service","0","Negative Tests: V2 APIs","0","13","POST Disable User v2","0"
"0","User Service","0","Negative Tests: V2 APIs","0","81","POST Create System Config v2","0"
"0","Offer Simulation","209","Negative Tests: Simulation Offer","32","0","Submit Simulate Offer","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","17","0","Get Model List","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","14","0","Get Offers By OfferID","0"
"16","Detach Tyre Specification","0","Positive Tests: Detach Tyre Specification","0","0","Create Car","0"
"0","Detach Tyre Specification","19","Negative Tests: Detach Tyre Specification","89","0","Create Inspection","0"
"0","User Service","0","Negative Tests: V2 APIs","0","10","PATCH V2 Update Password v2","0"
"0","User Service","0","Positive Tests: V2 APIs","1","0","Get Me V2","0"
"0","User Service","0","Negative Tests: V2 APIs","0","84","PATCH Update System Config v2","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","15","0","Get Offers List","0"
"0","User Service","0","Negative Tests: Franchise APIs","195","0","Create Franchise","0"
"0","User Service","0","Negative Tests: Franchise APIs","195","0","Update Franchise","0"
"0","User Service","0","Negative Tests: Franchise APIs","25","0","Get Franchise List","0"
"0","User Service","0","Negative Tests: V2 APIs","0","14","Post User Login V2","0"
"0","Inventory Service","0","Negative Tests: Dynamic Response","29","0","Get Cars","0"
"0","User Service","0","Positive Tests: V2 APIs","2","0","Scenario: Verify Logout Does Not Affect Other Active Sessions","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","14","0","Get accepted offer by loan id","0"
"0","Offer Simulation","0","Negative Tests: Simulation Offer","13","0","Accept Offer","0"
"0","Origination Service","0","Negative Tests: Response Payload Reduction (V2 APIs)","17","0","Get Loans List","0"
"0","User Service","0","Negative Tests: V2 APIs","0","20","Post logout-all by Admin v2","0"
