"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Update Car and Validate Response","620","PutUpdateCar - created_by as null","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PutUpdateCar"
"","0","PostDisableUserV2Negative - Send userId with leading/trailing spaces","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostDisableUserV2Negative"
"Negative test for Create System Config V2","1","PostSystemConfigV2 - MAX_LENGTH empty","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostSystemConfigV2"
"Submit Loan Customer Preferences","430","SubmitLoanPreferencesNegative - upfrontVehicleTracking special characters","API_Regression_Suite","2026-03-17","failed","2026-03-17","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"Validates GET /v1/inventory/model with dynamic parameters - Negative Test","594","GetModelListNegative - Use wrong delimiter","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.InventoryService.DynamicResponseNegative","Autochek_API_Automation","autochek_api_negative.InventoryService.DynamicResponseNegative","GetModelListNegative"
"Negative test for Create System Config V2","0","PostSystemConfigV2 - REQUIRE_SPECIAL_CHAR array structure passed","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostSystemConfigV2"
"Get Offer Details by OfferID","458","GetOffersByIdNegative - SQL injection with DROP statement","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","Autochek_API_Automation","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","GetOffersByIdNegative"
"Create Car and Validate Response","1880","CreateCar - Verify car creation with tyre_code = TY001 and is_draft = false","API_Regression_Suite","2026-03-17","broken","2026-03-17","autochek_api_positive.DetachTyreSpecification.DetachTyreSpecificationPositive","Autochek_API_Automation","autochek_api_positive.DetachTyreSpecification.DetachTyreSpecificationPositive","CreateCar"
"Create Inspection for the carID generated in Car Creation","449","PostCreateInspection - form_id empty + tyreCode invalid","API_Regression_Suite","2026-03-17","failed","2026-03-17","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PostCreateInspection"
"","0","PatchUpdatePasswordV2Negative - Send XSS payload as token","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PatchUpdatePasswordV2Negative"
"","648","GetMeV2 - Send valid access token in cookie → should return user profile details","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_positive.UserService.UserServiceV2","Autochek_API_Automation","autochek_api_positive.UserService.UserServiceV2","GetMeV2"
"Update System Config dynamically for PASSWORD_POLICY or USER_SESSION","0","PatchSystemConfigV2 - MIN_LENGTH zero","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PatchSystemConfigV2"
"Validates GET /v2/origination/offers with dynamic parameters - Positive Test","468","GetOffersListNegative - page_size is float","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","Autochek_API_Automation","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","GetOffersListNegative"
"","6201","CreateFranchise - city ID with new line","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
"Negative test for Create System Config V2","1","PostSystemConfigV2 - REQUIRE_SPECIAL_CHAR decimal value","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostSystemConfigV2"
"","469","UpdateFranchise - onboarding_source is boolean true","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","UpdateFranchise"
"","473","UpdateFranchise - display_address is empty","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","UpdateFranchise"
"","493","UpdateFranchise - account_number as object","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","UpdateFranchise"
"","488","GetFranchiseList - status is special characters","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseList"
"Submit Loan Customer Preferences","435","SubmitLoanPreferencesNegative - upfrontVehicleTracking JSON object instead of boolean","API_Regression_Suite","2026-03-17","failed","2026-03-17","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"","0","PostDisableUserV2Negative - Send no access token in cookie/header","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostDisableUserV2Negative"
"","0","PostLoginV2Negative - Password field is omitted","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostLoginV2Negative"
"","971","UpdateFranchise - name is too long","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","UpdateFranchise"
"Validates GET /v1/inventory/car with dynamic parameters - Negative Test","441","GetCarListNegative - Validate API fails when mixing valid and invalid relation paths","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.InventoryService.DynamicResponseNegative","Autochek_API_Automation","autochek_api_negative.InventoryService.DynamicResponseNegative","GetCarListNegative"
"Submit Loan Customer Preferences","431","SubmitLoanPreferencesNegative - Interest Rate Type invalid value","API_Regression_Suite","2026-03-17","failed","2026-03-17","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"","2767","LogoutAndTestOtherSessionsRemainLoggedIn - {}","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_positive.UserService.UserServiceV2","Autochek_API_Automation","autochek_api_positive.UserService.UserServiceV2","LogoutAndTestOtherSessionsRemainLoggedIn"
"Negative test for Create System Config V2","0","PostSystemConfigV2 - DISALLOW_WHITESPACES null value","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostSystemConfigV2"
"Validates GET /v2/origination/loans/{loan_id}/accepted-offer - Negative Test","452","GetAcceptedOfferByLoanIdNegative - Send offer_id as random alphanumeric invalid format","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","Autochek_API_Automation","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","GetAcceptedOfferByLoanIdNegative"
"Accept Simulation Offer","481","AcceptOfferNegative - loan_id in base64 encoded format","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","AcceptOfferNegative"
"","760","CreateFranchise - bank_name too short","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
"Update Car and Validate Response","442","PutUpdateCar - is_upgraded as special characters","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PutUpdateCar"
"Update System Config dynamically for PASSWORD_POLICY or USER_SESSION","1","PatchSystemConfigV2 - REQUIRE_NUMBER zero value","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PatchSystemConfigV2"
"Validates GET /v2/origination/loans with dynamic parameters - Negative Test","471","GetLoansListNegative - page_size is array","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","Autochek_API_Automation","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","GetLoansListNegative"
"","470","UpdateFranchise - latitude = ""6.5244"" (string)","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","UpdateFranchise"
"","0","PostLogoutAllAdminNegative - userId as null","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PostLogoutAllAdminNegative"
"Validates GET /v1/inventory/obds with dynamic parameters - Negative Test","433","GetObdsNegative - Pass numeric value instead of string","API_Regression_Suite","2026-03-17","passed","2026-03-17","autochek_api_negative.InventoryService.DynamicResponseNegative","Autochek_API_Automation","autochek_api_negative.InventoryService.DynamicResponseNegative","GetObdsNegative"
"Update System Config dynamically for PASSWORD_POLICY or USER_SESSION","0","PatchSystemConfigV2 - REQUIRE_LOWERCASE decimal value","API_Regression_Suite","2026-03-17","skipped","2026-03-17","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PatchSystemConfigV2"
