"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Update System Config dynamically for PASSWORD_POLICY or USER_SESSION","0","PatchSystemConfigV2 - Enforce maximum requirement","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PatchSystemConfigV2"
"","5898","CreateFranchise - latitude = special char","API_Regression_Suite","2026-03-09","passed","2026-03-09","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
"Create Inspection for the carID generated in Car Creation","0","PostCreateInspection - Too short car_id","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","Autochek_API_Automation","autochek_api_negative.DetachTyresSpecification.DetachTyresSpecificationNegative","PostCreateInspection"
"Submit Loan Customer Preferences","1","SubmitLoanPreferencesNegative - feePaymentMethod very long string","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"Update System Config dynamically for PASSWORD_POLICY or USER_SESSION","0","PatchSystemConfigV2 - MIN_LENGTH decimal","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","PatchSystemConfigV2"
"Validates GET /v2/origination/loans with dynamic parameters - Negative Test","1","GetLoansListNegative - page_size is float","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","Autochek_API_Automation","autochek_api_negative.OriginationService.ResponsePayloadReductionV2APIsNegative","GetLoansListNegative"
"","0","PostUserSignUpV2 - Verify signup with country = UG","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_positive.UserService.UserServiceV2","Autochek_API_Automation","autochek_api_positive.UserService.UserServiceV2","PostUserSignUpV2"
"","342","GetFranchiseByID - boolean true as string","API_Regression_Suite","2026-03-09","passed","2026-03-09","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","GetFranchiseByID"
"","613","CreateFranchise - phone with newline/tab characters","API_Regression_Suite","2026-03-09","passed","2026-03-09","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
"Create Car and Validate Response","0","CreateCar - Verify car creation with valid old year 2015","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_positive.DetachTyreSpecification.DetachTyreSpecificationPositive","Autochek_API_Automation","autochek_api_positive.DetachTyreSpecification.DetachTyreSpecificationPositive","CreateCar"
"","386","UpdateFranchise - latitude = ""abc""","API_Regression_Suite","2026-03-09","passed","2026-03-09","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","UpdateFranchise"
"Validates GET /v1/inventory/model with dynamic parameters - Negative Test","1","GetModelListNegative - Pass nested field with typo","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_negative.InventoryService.DynamicResponseNegative","Autochek_API_Automation","autochek_api_negative.InventoryService.DynamicResponseNegative","GetModelListNegative"
"Submit Loan Customer Preferences","0","SubmitLoanPreferencesNegative - upfrontInsurance SQL injection attempt","API_Regression_Suite","2026-03-09","skipped","2026-03-09","autochek_api_negative.OfferSimulation.OfferSimulationNegative","Autochek_API_Automation","autochek_api_negative.OfferSimulation.OfferSimulationNegative","SubmitLoanPreferencesNegative"
"","619","CreateFranchise - longitude is null","API_Regression_Suite","2026-03-09","passed","2026-03-09","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
"","0","SetUp","API_Regression_Suite","2026-03-09","broken","2026-03-09","autochek_api_negative.UserService.UserServiceV2Negative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceV2Negative","SetUp"
"","617","CreateFranchise - phone with more than 9 digits","API_Regression_Suite","2026-03-09","passed","2026-03-09","autochek_api_negative.UserService.UserServiceNegative","Autochek_API_Automation","autochek_api_negative.UserService.UserServiceNegative","CreateFranchise"
